ANT1,19.60,-1.59,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,16.05,2.97,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.26,-1.80,180.00,10uF,PERFECT_0402_0402
C10,20.88,13.39,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,14.53,2.97,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,20.73,10.11,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,19.89,3.84,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,21.32,3.79,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C15,18.97,0.97,0.00,1.0μF,NORDIC_NRF_3_RESC0402_L
C16,20.90,12.62,180.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,17.42,12.62,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,18.85,8.41,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,6.65,10.41,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,17.70,2.90,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,18.52,-6.99,90.00,4.7uF/25V,PERFECT_0402_0402
C20,8.76,8.69,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C21,8.68,12.38,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C22,19.71,13.39,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,14.15,15.47,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,1.70,-1.30,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,1.70,-3.18,270.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-15.70,11.73,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.42,-12.34,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,17.42,13.39,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-12.00,-12.19,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,-3.42,-14.61,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-10.79,12.57,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,19.59,2.86,180.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-11.30,1.85,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,15.62,15.44,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,13.77,-3.25,180.00,10uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,18.41,15.67,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C4,18.55,12.60,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,1.98,-12.98,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-1.02,9.40,180.00,4.7uF,PERFECT_0402_0402
C5,20.80,10.97,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,21.11,1.68,90.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C7,19.69,12.45,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,18.57,13.39,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,13.80,1.70,270.00,820pF,NORDIC_NRF_3_RESC0201_L
D1,15.72,-10.08,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D2,-18.54,-13.84,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,9.42,15.73,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D5,15.75,-13.72,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,4.98,-10.44,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-10.41,-0.13,270.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-11.68,-5.59,270.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-11.68,-7.75,270.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-10.54,-5.59,270.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-11.68,-0.08,270.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-11.81,-1.78,90.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-11.68,-3.43,90.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-10.54,-3.43,270.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-13.34,-8.26,0.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-15.62,-8.26,0.00,1uF/50V,PERFECT_0402_0402
IC1,14.48,12.83,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-11.25,10.90,270.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,11.13,0.10,180.00,BMA421,BMA423_BMA423
IC9,4.62,-2.57,90.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-14.63,0.33,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,-4.47,1.94,90.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,1.98,14.11,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,18.39,14.63,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,18.86,6.70,90.00,10μH,NORDIC_NRF_2_RESC0402_L
L3,19.51,4.72,180.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-6.26,-6.27,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,4.75,-5.74,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,-6.35,-10.49,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,9.55,10.10,270.00,3K3,ERA-1AEB3401C_0201
R18,12.09,14.54,0.00,3k3,ERA-1AEB3401C_0201
R1_EP_DR,-9.56,-12.22,270.00,0.47,CPF0201D7K68C1_0201
R1_USB,1.11,9.45,180.00,5K1,CPF0201D7K68C1_0201
R2,8.89,-3.43,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-14.02,8.64,90.00,10K,CPF0201D7K68C1_0201
R2_USB,0.51,9.40,180.00,5K1,CPF0201D7K68C1_0201
R3,6.65,9.65,90.00,0,CPF0201D7K68C1_0201
R4,8.88,-3.94,270.00,0,CPF0201D7K68C1_0201
R5,-13.45,-12.31,90.00,10K,CPF0201D7K68C1_0201
R7,8.76,-12.31,270.00,10K,CPF0201D7K68C1_0201
R8,-9.28,-14.57,180.00,10K,CPF0201D7K68C1_0201
R9,16.46,14.48,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,4.98,-11.63,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-10.67,-12.19,90.00,2.2,CPF0201D7K68C1_0201
SJ1,-0.64,-11.18,180.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.29,-13.75,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.76,-13.82,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-12.07,-13.75,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,12.73,16.54,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
